rms_value,rms_avg,rms_std,is_day,weather_type,sound_category
8,5.7,2.263232692902399,día,soleado,Ambiente tranquilo
2,5.1,2.3781411975649354,día,parcialmente nublado,Ambiente tranquilo
9,5.6,2.6331223544175377,día,soleado,Ambiente tranquilo
6,5.8,2.573367875415842,día,soleado,Ambiente tranquilo
2,5.6,2.7968235951204083,día,soleado,Ambiente tranquilo
4,5.4,2.8362729848243577,día,parcialmente nublado,Ambiente tranquilo
6,5.5,2.838231060987738,día,soleado,Ambiente tranquilo
3,4.8,2.4404006956964235,día,soleado,Ambiente tranquilo
5,4.8,2.4404006956964235,día,parcialmente nublado,Ambiente tranquilo
7,5.2,2.4404006956964226,día,parcialmente nublado,Ambiente tranquilo
13,5.7,3.4009802508492593,día,soleado,Ambiente tranquilo
5,6.0,3.1622776601683826,día,parcialmente nublado,Ambiente tranquilo
17,6.8,4.661902329879225,noche,parcialmente nublado,Ambiente tranquilo
28,9.0,8.137703743822469,día,soleado,Ambiente tranquilo
17,10.5,8.086339647138802,día,parcialmente nublado,Ambiente tranquilo
11,11.2,7.757433710820723,día,parcialmente nublado,Ambiente tranquilo
67,17.3,19.020748904522367,noche,parcialmente nublado,Ambiente tranquilo
86,25.6,28.05233204803717,día,parcialmente nublado,Ambiente tranquilo
30,28.1,27.110678502923694,día,soleado,Ambiente tranquilo
108,38.2,35.79819983059359,día,soleado,Ambiente tranquilo
90,45.9,37.98961846493211,noche,parcialmente nublado,Ambiente tranquilo
50,50.4,35.16690363269292,día,soleado,Ambiente tranquilo
52,53.9,33.15770398162896,día,soleado,Ambiente tranquilo
57,56.8,31.88451383073328,día,parcialmente nublado,Ambiente tranquilo
55,60.6,28.72165269153802,día,soleado,Ambiente tranquilo
12,60.7,28.530879956831175,día,parcialmente nublado,Ambiente tranquilo
14,55.4,31.948569781934072,día,parcialmente nublado,Ambiente tranquilo
23,49.1,31.451726679327336,día,soleado,Ambiente tranquilo
10,47.1,33.378136556734255,día,parcialmente nublado,Ambiente tranquilo
105,46.8,32.778041430201405,día,parcialmente nublado,Ambiente tranquilo
70,44.8,30.37103883636514,día,parcialmente nublado,Ambiente tranquilo
124,52.2,39.43996844713635,día,parcialmente nublado,Ambiente tranquilo
43,51.3,39.54758034458127,día,parcialmente nublado,Ambiente tranquilo
41,49.7,39.614952283758264,día,soleado,Ambiente tranquilo
33,47.5,39.897786070574554,día,parcialmente nublado,Ambiente tranquilo
9,47.2,40.20447736260228,día,soleado,Ambiente tranquilo
3,46.1,41.34798127545715,día,soleado,Ambiente tranquilo
4,44.2,42.9335403721716,día,parcialmente nublado,Ambiente tranquilo
23,45.5,41.96890383234817,día,soleado,Ambiente tranquilo
14,36.4,37.232602201117594,día,parcialmente nublado,Ambiente tranquilo
4,29.8,36.45636661361999,día,soleado,Ambiente tranquilo
5,17.9,15.940514420808348,día,parcialmente nublado,Ambiente tranquilo
5,14.1,13.658127413538185,día,soleado,Ambiente tranquilo
9,10.9,9.882082551545208,día,parcialmente nublado,Ambiente tranquilo
6,8.2,6.160808027812113,día,parcialmente nublado,Ambiente tranquilo
29,10.2,9.028350409189366,día,parcialmente nublado,Ambiente tranquilo
36,13.5,11.730776236511797,día,parcialmente nublado,Ambiente tranquilo
52,18.3,16.33027182191946,día,parcialmente nublado,Ambiente tranquilo
30,19.0,16.699966733167102,día,parcialmente nublado,Ambiente tranquilo
11,18.7,16.826236127613956,día,soleado,Ambiente tranquilo
42,22.5,17.41806214505184,día,soleado,Ambiente tranquilo
43,26.3,17.320828822868446,día,parcialmente nublado,Ambiente tranquilo
35,29.3,15.748368522202872,día,parcialmente nublado,Ambiente tranquilo
47,33.1,14.865695035513415,día,soleado,Ambiente tranquilo
43,36.8,11.621818561080104,día,parcialmente nublado,Ambiente tranquilo
39,37.8,11.301917241483089,día,soleado,Ambiente tranquilo
5,34.7,15.369883972669822,día,parcialmente nublado,Ambiente tranquilo
8,30.3,16.145518814140875,día,soleado,Ambiente tranquilo
3,27.6,18.31332241232532,día,parcialmente nublado,Ambiente tranquilo
6,27.1,18.876499204625347,día,soleado,Ambiente tranquilo
3,23.2,19.475340533322846,día,soleado,Ambiente tranquilo
12,20.1,18.41165090069024,noche,parcialmente nublado,Ambiente tranquilo
8,17.4,17.95797563448864,día,soleado,Ambiente tranquilo
10,13.7,14.69731645951429,día,parcialmente nublado,Ambiente tranquilo
11,10.5,10.490736654570737,día,soleado,Ambiente tranquilo
6,7.2,3.1552425509862005,día,parcialmente nublado,Ambiente tranquilo
138,20.5,41.398470181074714,día,parcialmente nublado,Ambiente tranquilo
7,20.4,41.43321265737319,día,soleado,Ambiente tranquilo
26,22.7,40.99607027237826,día,soleado,Ambiente tranquilo
2,22.3,41.19614329305865,día,soleado,Ambiente tranquilo
10,23.0,40.89009660052173,día,soleado,Ambiente tranquilo
29,24.7,40.73505179135585,día,soleado,Ambiente tranquilo
174,41.3,61.63521720575015,día,soleado,Ambiente tranquilo
27,43.0,60.906120838184684,día,soleado,Ambiente tranquilo
19,43.8,60.49021959512683,día,parcialmente nublado,Ambiente tranquilo
7,43.9,60.42157451330333,día,parcialmente nublado,Ambiente tranquilo
3,30.4,51.48074073541158,día,parcialmente nublado,Ambiente tranquilo
37,33.4,50.835683005804746,día,parcialmente nublado,Ambiente tranquilo
20,32.8,50.96796379426328,día,parcialmente nublado,Ambiente tranquilo
10,33.6,50.491363397889906,día,soleado,Ambiente tranquilo
10,33.6,50.491363397889906,día,soleado,Ambiente tranquilo
3,31.0,51.415518625756896,día,soleado,Ambiente tranquilo
63,19.9,18.663392570007744,día,parcialmente nublado,Ambiente tranquilo
261,43.3,78.69639268875176,noche,parcialmente nublado,Ambiente tranquilo
17,43.1,78.76752009694238,día,soleado,Ambiente tranquilo
5,42.9,78.87183696774576,día,parcialmente nublado,Ambiente tranquilo
7,43.3,78.65684966994291,día,parcialmente nublado,Ambiente tranquilo
6,40.2,79.53866984052473,día,parcialmente nublado,Ambiente tranquilo
15,39.7,79.69532260079285,día,soleado,Ambiente tranquilo
3,39.0,80.01527631924071,día,soleado,Ambiente tranquilo
3,38.3,80.32717818743264,día,soleado,Ambiente tranquilo
3,38.3,80.32717818743264,día,soleado,Ambiente tranquilo
5,32.5,80.43941819779653,día,soleado,Ambiente tranquilo
2,6.6,5.211099265563119,día,parcialmente nublado,Ambiente tranquilo
5,5.4,3.717824931625894,día,parcialmente nublado,Ambiente tranquilo
14,6.3,4.595891885392772,día,parcialmente nublado,Ambiente tranquilo
4,6.0,4.642796092394372,día,soleado,Ambiente tranquilo
3,5.7,4.738729318662592,día,soleado,Ambiente tranquilo
11,5.3,3.9735234853824313,día,soleado,Ambiente tranquilo
3,5.3,3.9735234853824313,día,parcialmente nublado,Ambiente tranquilo
9,5.9,4.040077006966465,día,parcialmente nublado,Ambiente tranquilo
18,7.4,5.399588461684142,día,parcialmente nublado,Ambiente tranquilo
11,8.0,5.436502143433087,día,parcialmente nublado,Ambiente tranquilo
25,10.3,7.196449741982917,día,soleado,Ambiente tranquilo
33,13.1,9.859569519563639,día,parcialmente nublado,Ambiente tranquilo
9,12.6,9.935346552139404,día,soleado,Ambiente tranquilo
2,12.4,10.145606602531489,día,soleado,Ambiente tranquilo
13,13.4,9.593979593705717,día,parcialmente nublado,Ambiente tranquilo
10,13.3,9.62692982096447,día,soleado,Ambiente tranquilo
10,14.0,9.030811456095893,día,soleado,Ambiente tranquilo
5,13.6,9.359487165437926,día,soleado,Ambiente tranquilo
6,12.4,9.500877152487758,día,soleado,Ambiente tranquilo
12,12.5,9.489760563657693,día,soleado,Ambiente tranquilo
9,10.9,8.438667614683508,día,soleado,Ambiente tranquilo
10,8.6,3.339993346632982,día,soleado,Ambiente tranquilo
13,9.0,3.6209268303996645,día,soleado,Ambiente tranquilo
33,12.1,7.809538327512457,día,soleado,Ambiente tranquilo
41,14.9,12.041133206176493,día,soleado,Ambiente tranquilo
62,20.1,18.941136889497002,día,soleado,Ambiente tranquilo
98,28.9,30.58848730414032,día,soleado,Ambiente tranquilo
36,32.0,29.446750433810337,día,parcialmente nublado,Ambiente tranquilo
21,33.5,28.336274357163514,día,soleado,Ambiente tranquilo
22,34.5,27.661646130819197,noche,parcialmente nublado,Ambiente tranquilo
7,34.3,27.872925931806982,día,parcialmente nublado,Ambiente tranquilo
4,33.7,28.51140122828056,día,soleado,Ambiente tranquilo
12,33.6,28.593705601058392,día,parcialmente nublado,Ambiente tranquilo
20,32.3,28.917699309131272,día,parcialmente nublado,Ambiente tranquilo
26,30.8,28.80509214242043,día,parcialmente nublado,Ambiente tranquilo
28,27.4,26.638318265235842,día,parcialmente nublado,Ambiente tranquilo
16,19.2,9.772978620211353,día,parcialmente nublado,Ambiente tranquilo
10,16.6,8.12677331075756,día,soleado,Ambiente tranquilo
6,15.1,8.595218308907263,noche,parcialmente nublado,Ambiente tranquilo
21,15.0,8.511430223202286,día,parcialmente nublado,Ambiente tranquilo
11,15.4,8.181279443542447,día,parcialmente nublado,Ambiente tranquilo
33,18.3,8.807194029125492,día,parcialmente nublado,Ambiente tranquilo
15,18.6,8.61781101363123,día,parcialmente nublado,Ambiente tranquilo
41,20.7,11.175866856758681,noche,parcialmente nublado,Ambiente tranquilo
66,24.7,18.221172056459718,día,soleado,Ambiente tranquilo
81,30.0,25.5299388518221,día,parcialmente nublado,Ambiente tranquilo
53,33.7,25.95316294147333,día,parcialmente nublado,Ambiente tranquilo
53,38.0,25.139610179953035,día,soleado,Ambiente tranquilo
19,39.3,23.58931019668769,día,soleado,Ambiente tranquilo
49,42.1,22.825181026420957,día,parcialmente nublado,Ambiente tranquilo
33,44.3,20.429009874304796,día,parcialmente nublado,Ambiente tranquilo
17,42.7,21.980041451785766,día,parcialmente nublado,Ambiente tranquilo
14,42.6,22.121884589197553,día,parcialmente nublado,Ambiente tranquilo
8,39.3,24.698403007302097,día,parcialmente nublado,Ambiente tranquilo
34,36.1,22.859231055406095,día,parcialmente nublado,Ambiente tranquilo
18,29.8,17.054162085674047,día,soleado,Ambiente tranquilo
19,26.4,15.203800694416945,noche,parcialmente nublado,Ambiente tranquilo
8,21.9,12.948187346325854,día,soleado,Ambiente tranquilo
13,21.3,13.233375314794772,noche,parcialmente nublado,Ambiente tranquilo
29,19.3,9.592242235843942,día,parcialmente nublado,Ambiente tranquilo
31,19.1,9.290975310602192,noche,parcialmente nublado,Ambiente tranquilo
42,21.6,11.711343029539906,día,parcialmente nublado,Ambiente tranquilo
22,22.4,11.4037031022577,día,parcialmente nublado,Ambiente tranquilo
35,25.1,10.795575225269006,día,parcialmente nublado,Ambiente tranquilo
5,22.2,11.970333699980394,día,parcialmente nublado,Ambiente tranquilo
17,22.1,12.013418423671908,día,soleado,Ambiente tranquilo
21,22.3,11.972654026757887,día,parcialmente nublado,Ambiente tranquilo
14,22.9,11.308305698811614,día,parcialmente nublado,Ambiente tranquilo
15,23.1,11.130039432893994,día,soleado,Ambiente tranquilo
10,21.2,11.621818561080017,día,soleado,Ambiente tranquilo
18,19.9,11.120051958311743,día,parcialmente nublado,Ambiente tranquilo
27,18.4,8.514040691051816,día,soleado,Ambiente tranquilo
7,16.9,9.10982375729004,día,parcialmente nublado,Ambiente tranquilo
26,16.0,7.408703590297423,día,soleado,Ambiente tranquilo
8,16.3,6.961002482082061,día,soleado,Ambiente tranquilo
13,15.9,7.0308842497462845,día,parcialmente nublado,Ambiente tranquilo
22,16.0,7.118052168020665,día,soleado,Ambiente tranquilo
9,15.5,7.442371187255167,día,soleado,Ambiente tranquilo
17,15.7,7.454305243727525,día,parcialmente nublado,Ambiente tranquilo
18,16.5,7.199537022151521,día,soleado,Ambiente tranquilo
6,15.3,7.888810641239294,día,soleado,Ambiente tranquilo
23,14.9,7.309810759064169,día,soleado,Ambiente tranquilo
10,15.2,7.004760286167089,día,parcialmente nublado,Ambiente tranquilo
11,13.7,5.963779562212503,noche,parcialmente nublado,Ambiente tranquilo
9,13.8,5.865151319445807,día,parcialmente nublado,Ambiente tranquilo
7,13.2,6.250333324444667,día,soleado,Ambiente tranquilo
8,11.8,5.59364719024052,día,soleado,Ambiente tranquilo
8,11.7,5.657836257007434,día,soleado,Ambiente tranquilo
8,10.8,5.432413009989928,día,parcialmente nublado,Ambiente tranquilo
4,9.4,5.168279318216824,día,soleado,Ambiente tranquilo
4,9.2,5.34997403939672,día,parcialmente nublado,Ambiente tranquilo
22,9.1,5.065131346327772,día,soleado,Ambiente tranquilo
16,9.7,5.51865523071991,día,parcialmente nublado,Ambiente tranquilo
6,9.2,5.613475849338602,día,parcialmente nublado,Ambiente tranquilo
10,9.3,5.618422079789244,día,parcialmente nublado,Ambiente tranquilo
6,9.2,5.672545969648409,día,parcialmente nublado,Ambiente tranquilo
5,8.9,5.820461990063538,día,soleado,Ambiente tranquilo
7,8.8,5.8461763382380445,día,soleado,Ambiente tranquilo
2,8.2,6.232531142677189,día,soleado,Ambiente tranquilo
5,8.3,6.1653151672163276,día,soleado,Ambiente tranquilo
11,9.0,6.018490028422316,día,soleado,Ambiente tranquilo
9,7.7,3.9454615277129768,día,soleado,Ambiente tranquilo
5,6.6,2.7162065049944686,día,parcialmente nublado,Ambiente tranquilo
6,6.6,2.7162065049944686,día,parcialmente nublado,Ambiente tranquilo
17,7.3,4.1912607490662275,noche,parcialmente nublado,Ambiente tranquilo
2,6.9,4.50801754901406,día,parcialmente nublado,Ambiente tranquilo
2,6.6,4.74224513167396,día,soleado,Ambiente tranquilo
36,9.5,10.448285345771492,día,soleado,Ambiente tranquilo
8,10.1,10.137389539060997,día,soleado,Ambiente tranquilo
3,9.9,10.268073496685247,día,parcialmente nublado,Ambiente tranquilo
3,9.1,10.482260146446203,día,soleado,Ambiente tranquilo
3,8.5,10.658851303546161,día,parcialmente nublado,Ambiente tranquilo
3,8.3,10.750193796702609,noche,parcialmente nublado,Ambiente tranquilo
3,8.0,10.862780491200056,día,soleado,Ambiente tranquilo
2,6.5,10.51189802081415,día,parcialmente nublado,Ambiente tranquilo
5,6.8,10.411532067856127,día,parcialmente nublado,Ambiente tranquilo
40,10.6,14.569374271624138,día,soleado,Ambiente tranquilo
31,10.1,13.658127413538107,día,parcialmente nublado,Ambiente tranquilo
14,10.7,13.687382673266688,día,soleado,Ambiente tranquilo
56,16.0,19.430788855719488,día,soleado,Ambiente tranquilo
40,19.7,20.188280428671085,día,soleado,Ambiente tranquilo
40,23.4,20.178095934838677,día,soleado,Ambiente tranquilo
35,26.6,19.09159209937418,día,parcialmente nublado,Ambiente tranquilo
2,26.5,19.231051279982875,día,soleado,Ambiente tranquilo
23,28.6,17.308957218734978,día,parcialmente nublado,Ambiente tranquilo
66,34.7,18.756036065461352,día,soleado,Ambiente tranquilo
3,31.0,21.097656531262164,día,soleado,Ambiente tranquilo
108,38.7,32.21817982306123,día,soleado,Ambiente tranquilo
57,43.0,31.414787742222412,día,soleado,Ambiente tranquilo
25,39.9,31.5187774720615,día,soleado,Ambiente tranquilo
55,41.4,31.87893766527776,día,soleado,Ambiente tranquilo
55,42.9,32.157425270067854,día,soleado,Ambiente tranquilo
19,41.3,32.98164472686114,día,parcialmente nublado,Ambiente tranquilo
25,43.6,30.656520060538845,día,soleado,Ambiente tranquilo
25,43.8,30.513385041103934,día,parcialmente nublado,Ambiente tranquilo
10,38.2,31.11912595173583,día,soleado,Ambiente tranquilo
19,39.8,29.47616739748305,día,parcialmente nublado,Ambiente tranquilo
8,29.8,18.795980657813168,día,soleado,Ambiente tranquilo
10,25.1,17.03232221395537,día,soleado,Ambiente tranquilo
12,23.8,17.529657409341645,día,soleado,Ambiente tranquilo
9,19.2,14.140564188021388,día,soleado,Ambiente tranquilo
4,14.1,7.370361064576104,día,parcialmente nublado,Ambiente tranquilo
5,12.7,7.66014215127728,día,parcialmente nublado,Ambiente tranquilo
4,10.6,6.736302975503317,día,parcialmente nublado,Ambiente tranquilo
20,10.1,5.646040894093383,día,parcialmente nublado,Ambiente tranquilo
41,13.2,11.282237760696502,noche,parcialmente nublado,Ambiente tranquilo
11,12.4,11.10755498648442,día,parcialmente nublado,Ambiente tranquilo
8,12.4,11.10755498648442,día,soleado,Ambiente tranquilo
86,20.0,25.699113689861793,día,soleado,Ambiente tranquilo
6,19.4,25.975201849285185,día,parcialmente nublado,Ambiente tranquilo
39,22.4,26.37001664348689,día,parcialmente nublado,Ambiente tranquilo
9,22.9,26.027549506884643,día,soleado,Ambiente tranquilo
12,23.6,25.58298045359232,día,parcialmente nublado,Ambiente tranquilo
110,34.2,36.2822270540274,día,soleado,Ambiente tranquilo
66,38.8,37.18661646942947,día,soleado,Ambiente tranquilo
44,39.1,37.21842435019394,día,parcialmente nublado,Ambiente tranquilo
19,39.9,36.62861662082741,día,soleado,Ambiente tranquilo
75,46.6,36.271200696971675,día,parcialmente nublado,Ambiente tranquilo
41,42.1,33.5276005702764,día,parcialmente nublado,Ambiente tranquilo
35,45.0,31.23388473365992,día,soleado,Ambiente tranquilo
4,41.5,33.83374383987413,día,parcialmente nublado,Ambiente tranquilo
7,41.3,34.05241058525321,día,soleado,Ambiente tranquilo
15,41.6,33.77770467828345,día,soleado,Ambiente tranquilo
7,31.3,25.223666135860014,día,soleado,Ambiente tranquilo
11,25.8,22.685286469917454,día,soleado,Ambiente tranquilo
9,22.3,22.261326704998158,día,parcialmente nublado,Ambiente tranquilo
10,21.4,22.589082908933335,día,soleado,Ambiente tranquilo
5,14.4,12.903057346570462,día,parcialmente nublado,Ambiente tranquilo
3,10.6,9.28798507032949,día,soleado,Ambiente tranquilo
7,7.8,3.5839146815237046,día,soleado,Ambiente tranquilo
14,8.8,3.7947331922016287,día,parcialmente nublado,Ambiente tranquilo
4,8.5,4.06201920231758,día,soleado,Ambiente tranquilo
5,7.5,3.472111109332801,día,soleado,Ambiente tranquilo
3,7.1,3.754996671103275,día,parcialmente nublado,Ambiente tranquilo
3,6.3,3.683295625749215,día,parcialmente nublado,Ambiente tranquilo
3,5.7,3.6832956257492104,noche,parcialmente nublado,Ambiente tranquilo
6,5.3,3.3681514877512595,noche,parcialmente nublado,Ambiente tranquilo
588,63.6,184.28613018287018,día,con tormentas,Actividad moderada
588,122.1,245.57255094529145,noche,con tormentas,Actividad moderada
798,201.2,320.3778324971245,noche,con tormentas,Actividad moderada
572,257.0,332.51399302218175,día,con tormentas,Actividad moderada
588,315.4,334.4209589391457,día,con tormentas,Actividad moderada
840,398.9,352.0844122271438,noche,con tormentas,Actividad moderada
805,479.1,343.11172459645786,día,con tormentas,Actividad moderada
580,536.8,299.95325561753043,noche,con tormentas,Actividad moderada
617,598.2,234.17410427096993,noche,con tormentas,Actividad moderada
600,657.6,109.31930804350674,día,con tormentas,Actividad moderada
653,664.1,106.62025031755357,día,con tormentas,Actividad moderada
618,667.1,104.64484910612873,noche,con tormentas,Actividad moderada
627,650.0,94.3421668420036,día,con tormentas,Actividad moderada
731,665.9,93.12649700511906,noche,con tormentas,Actividad moderada
639,671.0,89.72055382005722,día,con tormentas,Actividad moderada
721,659.1,70.68781130199653,día,con tormentas,Actividad moderada
748,653.4,58.93725477149408,noche,con tormentas,Actividad moderada
666,662.0,53.013625083033595,día,con tormentas,Actividad moderada
722,672.5,53.50648974138044,noche,con tormentas,Actividad moderada
695,682.0,47.27461146206173,día,con tormentas,Actividad moderada
722,688.9,47.605905329299574,noche,con tormentas,Actividad moderada
663,693.4,41.95023506754443,día,con tormentas,Actividad moderada
562,686.9,56.048490910401355,noche,con tormentas,Actividad moderada
694,683.2,53.997530807744745,día,con tormentas,Actividad moderada
570,676.3,63.793155327720505,noche,con tormentas,Actividad moderada
665,670.7,61.86194306680002,día,con tormentas,Actividad moderada
767,672.6,64.72540287845094,noche,con tormentas,Actividad moderada
618,667.8,67.00878880995974,día,con tormentas,Actividad moderada
699,665.5,65.3150484617103,noche,con tormentas,Actividad moderada
740,670.0,69.01851603414525,día,con tormentas,Actividad moderada
711,668.9,68.18023499845431,día,con tormentas,Actividad moderada
738,676.4,71.50322448051641,noche,con tormentas,Actividad moderada
750,695.2,62.1911033294421,día,con tormentas,Actividad moderada
735,699.3,63.4420995869463,noche,con tormentas,Actividad moderada
704,712.7,44.38731049898548,día,con tormentas,Actividad moderada
757,721.9,42.9119253044343,noche,con tormentas,Actividad moderada
666,711.8,43.00335904192718,día,con tormentas,Actividad moderada
851,735.1,49.20806167015068,noche,con tormentas,Actividad moderada
654,730.6,54.63454340738422,día,con tormentas,Actividad moderada
619,718.5,64.77868305065944,noche,con tormentas,Actividad moderada
599,707.3,75.08225119456966,día,con tormentas,Actividad moderada
773,710.8,77.45077289622252,noche,con tormentas,Actividad moderada
783,714.1,79.96867442248185,noche,con tormentas,Actividad moderada
966,737.2,113.15456489048762,noche,con tormentas,Actividad moderada
834,750.2,116.33935036970279,noche,con tormentas,Actividad moderada
651,739.6,120.40874829789854,noche,con tormentas,Actividad moderada
830,756.0,120.43901176759786,noche,con tormentas,Actividad moderada
877,758.6,122.97172213336066,noche,con tormentas,Actividad moderada
788,772.0,117.48569652893455,noche,con tormentas,Actividad moderada
866,796.7,107.26504038543455,noche,con tormentas,Actividad moderada
634,800.2,100.45208918794191,noche,con tormentas,Actividad moderada
629,785.8,114.16927004330998,noche,con tormentas,Actividad moderada
608,768.3,127.30283229807235,noche,con tormentas,Actividad moderada
733,745.0,106.76349771548546,noche,con tormentas,Actividad moderada
554,717.0,117.04984693141077,noche,con tormentas,Actividad moderada
649,716.8,117.1767895105512,noche,con tormentas,Actividad moderada
559,689.7,119.40412239300815,noche,con tormentas,Actividad moderada
572,659.2,104.23563050448102,noche,con tormentas,Actividad moderada
675,647.9,94.38037696235159,noche,con tormentas,Actividad moderada
621,623.4,55.09829600107658,noche,con tormentas,Actividad moderada
594,619.4,55.69201019895069,noche,con tormentas,Actividad moderada
688,625.3,59.79604223246465,noche,con tormentas,Actividad moderada
547,619.2,64.669759376217,noche,con tormentas,Actividad moderada
592,605.1,51.03473762492044,noche,con tormentas,Actividad moderada
709,620.6,56.98186846123389,noche,con tormentas,Actividad moderada
643,620.0,56.68039049500889,noche,con tormentas,Actividad moderada
514,615.5,63.44420120599434,noche,con tormentas,Actividad moderada
615,619.8,61.598701285011096,noche,con tormentas,Actividad moderada
662,618.5,60.43040073781871,noche,con tormentas,Actividad moderada
843,640.7,93.29290791194525,noche,con tormentas,Actividad moderada
839,665.2,110.28830904094569,noche,con tormentas,Actividad moderada
828,679.2,121.79016563107416,noche,con tormentas,Actividad moderada
753,699.8,114.12546701863812,noche,con tormentas,Actividad moderada
590,699.6,114.33692900079734,noche,con tormentas,Actividad moderada
645,693.2,115.53719939675048,noche,con tormentas,Actividad moderada
655,694.4,115.01903224152868,noche,con tormentas,Actividad moderada
602,703.2,102.35211554020557,noche,con tormentas,Actividad moderada
563,698.0,108.46914563854365,noche,con tormentas,Actividad moderada
598,691.6,112.63727427257636,noche,con tormentas,Actividad moderada
594,666.7,102.51726141918213,noche,con tormentas,Actividad moderada
585,641.3,85.0647465823014,noche,con tormentas,Actividad moderada
619,620.4,54.156563160279866,noche,con tormentas,Actividad moderada
519,597.0,38.90158522905444,noche,con tormentas,Actividad moderada
575,595.5,39.486284538643545,noche,con tormentas,Actividad moderada
507,581.7,44.10857815285733,noche,con tormentas,Actividad moderada
551,571.3,36.51194629463458,noche,con tormentas,Actividad moderada
683,579.4,50.416487602988376,noche,con tormentas,Actividad moderada
494,572.5,57.17857018926712,noche,con tormentas,Actividad moderada
558,568.5,56.59259865231743,noche,con tormentas,Actividad moderada
634,572.5,59.91150881833095,noche,con tormentas,Actividad moderada
667,580.7,67.00422872227338,noche,con tormentas,Actividad moderada
578,576.6,65.64077323669466,noche,con tormentas,Actividad moderada
443,569.0,76.54483072756231,noche,con tormentas,Actividad moderada
511,562.6,78.63445668266446,noche,con tormentas,Actividad moderada
1126,624.5,191.9671557555848,noche,con tormentas,Actividad moderada
513,620.7,193.9496211792011,noche,con tormentas,Actividad moderada
499,602.3,196.09864297791006,noche,con tormentas,Actividad moderada
613,614.2,192.3716310801686,noche,con tormentas,Actividad moderada
680,626.4,192.28000416059922,noche,con tormentas,Actividad moderada
535,616.5,194.38235516630633,noche,con tormentas,Actividad moderada
614,611.2,193.57329935252505,noche,con tormentas,Actividad moderada
542,607.6,194.5914238146745,noche,con tormentas,Actividad moderada
279,591.2,215.76417167309734,día,con tormentas,Actividad moderada
149,555.0,257.11908179328555,noche,con tormentas,Actividad moderada
119,454.3,199.34395177960917,día,con tormentas,Actividad moderada
113,414.3,224.76706460986085,noche,con tormentas,Actividad moderada
131,377.5,239.0314949029847,día,con tormentas,Actividad moderada
159,332.1,232.35387283671915,noche,con tormentas,Actividad moderada
175,281.6,201.1186493369303,día,con tormentas,Actividad moderada
186,246.7,181.5935938664505,noche,con tormentas,Actividad moderada
272,212.5,129.45205032494988,día,con tormentas,Actividad moderada
